pattern,membership_queries,equivalence_queries
a,18,2
b,18,2
(a*),5,1
(b*),5,1
(a|a),18,2
(a|b),18,2
(b|a),18,2
(b|b),18,2
(aa),39,3
(ab),39,3
(ba),39,3
(bb),39,3
((a|a)*),5,1
((a|b)*),3,1
((b|a)*),3,1
((b|b)*),5,1
(a|(a|a)),18,2
(a|(a|b)),18,2
(a|(b|a)),18,2
(a|(b|b)),18,2
(b|(a|a)),18,2
(b|(a|b)),18,2
(b|(b|a)),18,2
(b|(b|b)),18,2
((a*)|(a*)),5,1
((a*)|(b*)),33,3
((b*)|(a*)),33,3
((b*)|(b*)),5,1
(a(a*)),18,2
(a(b*)),18,2
(b(a*)),18,2
(b(b*)),18,2
((a*)a),18,2
((a*)b),18,2
((b*)a),18,2
((b*)b),18,2
((aa)*),18,2
((ab)*),18,2
(a|(a*)),5,1
(a|(b*)),33,3
(b|(a*)),33,3
(b|(b*)),5,1
((a*)(a*)),5,1
((a*)(b*)),14,2
((b*)(a*)),14,2
((b*)(b*)),5,1
((a|(a|a))*),5,1
((a|(a|b))*),3,1
((a|(b|a))*),3,1
((a|(b|b))*),3,1
((b|(a|a))*),3,1
((b|(a|b))*),3,1
((b|(b|a))*),3,1
((b|(b|b))*),5,1
(((a*)|(a*))*),5,1
(((a*)|(b*))*),3,1
(((b*)|(a*))*),3,1
(((b*)|(b*))*),5,1
((a(a*))*),5,1
((a(b*))*),18,2
((b(a*))*),18,2
((b(b*))*),5,1
(((a*)a)*),5,1
(((a*)b)*),5,1
(((b*)a)*),5,1
(((b*)b)*),5,1
(a|(a|(a|a))),18,2
(a|(a|(a|b))),18,2
(a|(a|(b|a))),18,2
(a|(a|(b|b))),18,2
(a|(b|(a|a))),18,2
(a|(b|(a|b))),18,2
(a|(b|(b|a))),18,2
(a|(b|(b|b))),18,2
(b|(a|(a|a))),18,2
(b|(a|(a|b))),18,2
(b|(a|(b|a))),18,2
(b|(a|(b|b))),18,2
(b|(b|(a|a))),18,2
(b|(b|(a|b))),18,2
(b|(b|(b|a))),18,2
(b|(b|(b|b))),18,2
((a|a)a),39,3
((a|a)b),39,3
((a|b)a),45,3
((a|b)b),39,3
((b|a)a),45,3
((b|a)b),39,3
((b|b)a),39,3
((b|b)b),39,3
(a(a|a)),39,3
(a(a|b)),39,3
(a(b|a)),39,3
(a(b|b)),39,3
(b(a|a)),39,3
(b(a|b)),39,3
(b(b|a)),39,3
(b(b|b)),39,3
(a(aa)),68,3
(a(ab)),68,3
(a(ba)),68,3
(a(bb)),68,3
(b(aa)),68,3
(b(ab)),68,3
(b(ba)),68,3
(b(bb)),68,3
((a|(a*))*),5,1
((a|(b*))*),3,1
((b|(a*))*),3,1
((b|(b*))*),5,1
(((a*)(a*))*),5,1
(((a*)(b*))*),3,1
(((b*)(a*))*),3,1
(((b*)(b*))*),5,1
(a|(a|(a*))),5,1
(a|(a|(b*))),33,3
(a|(b|(a*))),33,3
(a|(b|(b*))),33,3
(a|(aa)),22,2
(a|(ab)),39,3
(a|(ba)),33,2
(a|(bb)),39,3
(b|(a|(a*))),33,3
(b|(a|(b*))),33,3
(b|(b|(a*))),33,3
(b|(b|(b*))),5,1
(b|(aa)),39,3
(b|(ab)),45,3
(b|(ba)),39,3
(b|(bb)),22,2
(((a|a)*)|(a*)),5,1
(((a|a)*)|(b*)),33,3
(((a|b)*)|(a*)),3,1
(((a|b)*)|(b*)),3,1
(((b|a)*)|(a*)),3,1
(((b|a)*)|(b*)),3,1
(((b|b)*)|(a*)),33,3
(((b|b)*)|(b*)),5,1
((a*)|((a|a)*)),5,1
((a*)|((a|b)*)),3,1
((a*)|((b|a)*)),3,1
((a*)|((b|b)*)),33,3
((a*)|(a*)|(a*)),5,1
((a*)|(a*)|(b*)),33,3
((a*)|(b*)|(a*)),33,3
((a*)|(b*)|(b*)),33,3
((b*)|((a|a)*)),33,3
((b*)|((a|b)*)),3,1
((b*)|((b|a)*)),3,1
((b*)|((b|b)*)),5,1
((b*)|(a*)|(a*)),33,3
((b*)|(a*)|(b*)),33,3
((b*)|(b*)|(a*)),33,3
((b*)|(b*)|(b*)),5,1
((a|a)(a*)),18,2
((a|a)(b*)),18,2
((a|b)(a*)),18,2
((a|b)(b*)),18,2
((b|a)(a*)),18,2
((b|a)(b*)),18,2
((b|b)(a*)),18,2
((b|b)(b*)),18,2
(a((a|a)*)),18,2
(a((a|b)*)),18,2
(a((b|a)*)),18,2
(a((b|b)*)),18,2
(b((a|a)*)),18,2
(b((a|b)*)),18,2
(b((b|a)*)),18,2
(b((b|b)*)),18,2
(((a|a)*)a),18,2
(((a|a)*)b),18,2
(((a|b)*)a),5,1
(((a|b)*)b),5,1
(((b|a)*)a),5,1
(((b|a)*)b),5,1
(((b|b)*)a),18,2
(((b|b)*)b),18,2
((a*)(a|a)),18,2
((a*)(a|b)),18,2
((a*)(b|a)),18,2
((a*)(b|b)),18,2
((b*)(a|a)),18,2
((b*)(a|b)),22,2
((b*)(b|a)),22,2
((b*)(b|b)),18,2
(a(a(a*))),39,3
(a(a(b*))),39,3
(a(b(a*))),39,3
(a(b(b*))),39,3
(a((a*)a)),39,3
(a((a*)b)),39,3
(a((b*)a)),39,3
(a((b*)b)),39,3
(b(a(a*))),39,3
(b(a(b*))),39,3
(b(b(a*))),39,3
(b(b(b*))),39,3
(b((a*)a)),39,3
(b((a*)b)),39,3
(b((b*)a)),39,3
(b((b*)b)),39,3
((a*)(aa)),39,3
((a*)(ab)),39,3
((a*)(ba)),39,3
((a*)(bb)),39,3
((b*)(aa)),39,3
((b*)(ab)),39,3
((b*)(ba)),39,3
((b*)(bb)),39,3
((a|(a|(a|a)))*),5,1
((a|(a|(a|b)))*),3,1
((a|(a|(b|a)))*),3,1
((a|(a|(b|b)))*),3,1
((a|(b|(a|a)))*),3,1
((a|(b|(a|b)))*),3,1
((a|(b|(b|a)))*),3,1
((a|(b|(b|b)))*),3,1
((b|(a|(a|a)))*),3,1
((b|(a|(a|b)))*),3,1
((b|(a|(b|a)))*),3,1
((b|(a|(b|b)))*),3,1
((b|(b|(a|a)))*),3,1
((b|(b|(a|b)))*),3,1
((b|(b|(b|a)))*),3,1
((b|(b|(b|b)))*),5,1
(((a|a)a)*),18,2
(((a|a)b)*),18,2
(((a|b)a)*),22,2
(((a|b)b)*),22,2
(((b|a)a)*),22,2
(((b|a)b)*),22,2
((a(a|a))*),18,2
((a(a|b))*),18,2
((a(b|a))*),18,2
((a(b|b))*),18,2
(a|(a|(a|(a|a)))),18,2
(a|(a|(a|(a|b)))),18,2
(a|(a|(a|(b|a)))),18,2
(a|(a|(a|(b|b)))),18,2
(a|(a|(b|(a|a)))),18,2
(a|(a|(b|(a|b)))),18,2
(a|(a|(b|(b|a)))),18,2
(a|(a|(b|(b|b)))),18,2
(a|(b|(a|(a|a)))),18,2
(a|(b|(a|(a|b)))),18,2
(a|(b|(a|(b|a)))),18,2
(a|(b|(a|(b|b)))),18,2
(a|(b|(b|(a|a)))),18,2
(a|(b|(b|(a|b)))),18,2
(a|(b|(b|(b|a)))),18,2
(a|(b|(b|(b|b)))),18,2
(a|(a(a*))),18,2
(a|(a(b*))),18,2
(a|(b(a*))),22,2
(a|(b(b*))),22,2
(a|((a*)a)),18,2
(a|((a*)b)),33,2
(a|((b*)a)),18,2
(a|((b*)b)),22,2
(a|((a|a)*)),5,1
(a|((a|b)*)),3,1
(a|((b|a)*)),3,1
(a|((b|b)*)),33,3
(a|(a*)|(a*)),5,1
(a|(a*)|(b*)),33,3
(a|(b*)|(a*)),33,3
(a|(b*)|(b*)),33,3
(b|(a|(a|(a|a)))),18,2
(b|(a|(a|(a|b)))),18,2
(b|(a|(a|(b|a)))),18,2
(b|(a|(a|(b|b)))),18,2
(b|(a|(b|(a|a)))),18,2
(b|(a|(b|(a|b)))),18,2
(b|(a|(b|(b|a)))),18,2
(b|(a|(b|(b|b)))),18,2
(b|(b|(a|(a|a)))),18,2
(b|(b|(a|(a|b)))),18,2
(b|(b|(a|(b|a)))),18,2
(b|(b|(a|(b|b)))),18,2
(b|(b|(b|(a|a)))),18,2
(b|(b|(b|(a|b)))),18,2
(b|(b|(b|(b|a)))),18,2
(b|(b|(b|(b|b)))),18,2
(b|(a(a*))),18,2
(b|(a(b*))),27,2
(b|(b(a*))),18,2
(b|(b(b*))),18,2
